Company,TypeName,Disp_size,IPS_Panel,Touch_Screen,Processor,RAM_GB,SSD_Disk,HDD_Disk,HybridFlash_Disk,GPU_company,Op_Sys,Weight_kg,Price_INR,PPI,SSD_storage,HDD_storage,Other_storage
Apple,Ultrabook,13.3,1,0,Intel ,8,1,0,0,Intel,macOS,1.37,71379,1612,128,0,0
Apple,Ultrabook,13.3,0,0,Intel ,8,0,0,1,Intel,macOS,1.34,47896,906,0,0,128
HP,Notebook,15.6,0,0,Intel ,8,1,0,0,Intel,No OS,1.86,30636,1087,256,0,0
Apple,Ultrabook,15.4,1,0,Intel ,16,1,0,0,AMD,macOS,1.83,135195,1810,512,0,0
Apple,Ultrabook,13.3,1,0,Intel ,8,1,0,0,Intel,macOS,1.37,96096,1612,256,0,0
Acer,Notebook,15.6,0,0,AMD ,4,0,1,0,AMD,Windows,2.1,21312,773,0,500,0
Apple,Ultrabook,15.4,1,0,Intel ,16,0,0,1,Intel,Mac,2.04,114018,1810,0,0,256
Apple,Ultrabook,13.3,0,0,Intel ,8,0,0,1,Intel,macOS,1.34,61736,906,0,0,256
Asus,Ultrabook,14,0,0,Intel ,16,1,0,0,Nvidia,Windows,1.3,79654,1089,512,0,0
Acer,Ultrabook,14,1,0,Intel ,8,1,0,0,Intel,Windows,1.6,41026,1089,256,0,0
HP,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,No OS,1.86,20987,773,0,500,0
HP,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,No OS,1.86,18381,1087,0,500,0
Apple,Ultrabook,15.4,1,0,Intel ,16,1,0,0,AMD,macOS,1.83,130002,1810,256,0,0
Dell,Notebook,15.6,0,0,Intel ,4,1,0,0,AMD,Windows,2.2,26581,1087,256,0,0
Apple,Ultrabook,12,1,0,Intel ,8,1,0,0,Intel,macOS,0.92,67261,1453,256,0,0
Apple,Ultrabook,13.3,1,0,Intel ,8,1,0,0,Intel,macOS,1.37,80908,1612,256,0,0
Dell,Notebook,15.6,0,0,Intel ,8,1,0,0,AMD,Windows,2.2,39694,1087,256,0,0
Apple,Ultrabook,15.4,1,0,Intel ,16,1,0,0,AMD,macOS,1.83,152274,1810,512,0,0
Lenovo,Notebook,15.6,0,0,Intel ,8,0,1,0,Nvidia,No OS,2.2,26587,1087,0,0,0
Dell,Ultrabook,13.3,1,1,Intel ,8,1,0,0,Intel,Windows,1.22,52161,1090,128,0,0
Asus,Netbook,11.6,0,0,Intel ,2,0,0,1,Intel,Windows,0.98,10224,777,0,0,32
Lenovo,Gaming,15.6,1,0,Intel ,8,1,1,0,Nvidia,Windows,2.5,53227,1087,128,1024,0
HP,Notebook,15.6,0,0,AMD ,4,0,1,0,AMD,No OS,1.86,13746,773,0,500,0
Dell,2 in 1 Convertible,13.3,0,1,Intel ,8,1,0,0,Intel,Windows,1.62,43636,1090,256,0,0
HP,Ultrabook,15.6,0,0,Intel ,8,1,0,0,Intel,Windows,1.91,35112,1087,256,0,0
Dell,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2.3,22305,773,0,0,0
Apple,Ultrabook,13.3,0,0,Intel ,8,0,0,1,Intel,Mac,1.35,58555,906,0,0,128
Dell,Notebook,15.6,0,0,Intel ,8,1,0,0,AMD,Windows,2.2,42624,1087,256,0,0
Dell,Ultrabook,15.6,0,0,Intel ,8,1,0,0,Intel,Windows,1.88,69157,1087,512,0,0
HP,Notebook,17.3,0,0,Intel ,8,0,1,0,Nvidia,Windows,2.5,47739,1086,0,0,0
Chuwi,Notebook,15.6,0,0,Intel ,4,0,0,1,Intel,Windows,1.89,13053,1087,0,0,64
Asus,Notebook,14,0,0,AMD ,2,0,0,1,AMD,Windows,1.65,10603,774,0,0,32
HP,Notebook,17.3,0,0,AMD ,4,0,1,0,AMD,Windows,2.71,23390,1086,0,500,0
Dell,Ultrabook,13.3,0,1,Intel ,16,1,0,0,Intel,Windows,1.2,99580,1816,512,0,0
Apple,Ultrabook,13.3,0,0,Intel ,8,0,0,1,Intel,Mac,1.35,53173,906,0,0,256
Lenovo,Notebook,14,0,0,Intel ,4,0,0,1,Intel,Windows,1.44,13267,774,0,0,64
Acer,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Linux,2.1,19554,773,0,0,0
Dell,Notebook,17.3,1,0,Intel ,8,1,1,0,AMD,Windows,2.8,52161,1086,128,1024,0
HP,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,1.86,26037,773,0,0,0
HP,Notebook,15.6,0,0,Intel ,8,1,0,0,Nvidia,Windows,2.1,46833,1087,256,0,0
Asus,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Linux,2,20726,1087,0,0,0
Dell,Gaming,15.6,1,0,Intel ,16,1,1,0,Nvidia,Windows,2.65,79867,1087,256,1024,0
Asus,Notebook,15.6,0,0,Intel ,8,0,1,0,Nvidia,Linux,2.3,27865,773,0,0,0
Acer,Notebook,15.6,1,0,Intel ,4,1,0,0,Intel,Windows,2.2,36337,1087,256,0,0
Dell,2 in 1 Convertible,17.3,0,1,Intel ,12,0,1,0,Nvidia,Windows,2.77,53227,1086,0,0,0
Apple,Ultrabook,13.3,1,0,Intel ,8,1,0,0,Intel,macOS,1.37,75604,1612,256,0,0
Lenovo,Notebook,15.6,0,0,Intel ,4,1,0,0,Intel,No OS,2.2,19660,773,128,0,0
Asus,Gaming,17.3,0,0,AMD ,8,1,1,0,AMD,Windows,3.2,69211,1086,256,1024,0
Dell,Notebook,15.6,0,0,Intel ,4,1,0,0,AMD,Windows,2.3,34046,1087,256,0,0
Asus,Notebook,17.3,0,0,Intel ,4,0,1,0,Nvidia,Windows,2.8,24828,772,0,0,0
Lenovo,2 in 1 Convertible,10.1,1,1,Intel ,4,0,0,1,Intel,Android,0.69,16996,1215,0,0,64
Acer,Notebook,15.6,1,0,Intel ,8,1,0,0,Nvidia,Windows,2.2,44808,1087,256,0,0
HP,Notebook,15.6,0,0,AMD ,4,1,0,0,AMD,Windows,1.86,21232,1087,256,0,0
HP,Notebook,13.3,0,0,Intel ,8,1,0,0,Intel,Windows,1.49,58768,1090,512,0,0
Acer,Notebook,15.6,0,0,Intel ,4,0,1,0,Intel,Windows,2.4,20460,773,0,0,0
Dell,Notebook,15.6,0,0,Intel ,8,1,0,0,AMD,Windows,2.13,40908,1087,256,0,0
HP,Notebook,15.6,0,0,Intel ,4,1,0,0,Intel,Windows,1.91,23390,1087,128,0,0
Asus,Notebook,15.6,0,0,Intel ,4,1,0,0,Intel,Windows,2,31232,773,256,0,0
